"","stop_id","passing_values","frequent_stop","stop_name","geometry","RTA"
"138","799256",2,FALSE,"Main St and Clifton Ave - CVS",c(240191.109361918, 867887.784472118),"BAT"
"139","799257",2,FALSE,"Main St and Glen Ave",c(240242.638434812, 867691.03514709),"BAT"
"140","799258",2,FALSE,"Campello Hi Rise",c(240328.260594632, 867621.862123762),"BAT"
"141","799259",2,FALSE,"Main St and Brookside Ave",c(240281.044809716, 867531.531742303),"BAT"
"142","799260",2,FALSE,"Main St and Watson St",c(240316.610654492, 867405.88948734),"BAT"
"143","799261",2,FALSE,"Main St and Holmes St",c(240341.254735621, 867323.059028698),"BAT"
"144","799262",2,FALSE,"Main St and Thayer Ave",c(240386.963774962, 867175.5938119),"BAT"
"145","799263",2,FALSE,"Main St and Sylvia Ave",c(240418.917176804, 867059.816899839),"BAT"
"146","799265",2,FALSE,"Kmart Plaza",c(240407.307522596, 866221.928167912),"BAT"
"147","799267",2,FALSE,"Main St at Auto Dealers",c(240581.557881722, 866173.977072186),"BAT"
"148","799268",2,FALSE,"Main St at Wendys",c(240517.561071428, 866473.697168845),"BAT"
"149","799270",2,FALSE,"Main St and Sargeants Way",c(240424.492254857, 867098.168851254),"BAT"
"150","799271",2,FALSE,"Main St and Meadow Ln",c(240390.359881567, 867204.158890615),"BAT"
"151","799272",2,FALSE,"Main St and Garfield St",c(240168.793928501, 868027.497941751),"BAT"
"152","799273",2,FALSE,"Main St and Perkins Ave",c(240108.965151033, 868243.638419734),"BAT"
"153","799274",2,FALSE,"Main St and East Chestnut St",c(240082.602883963, 868338.566915019),"BAT"
"154","799275",2,FALSE,"Main St and Pinkham St",c(240047.558040609, 868461.436576929),"BAT"
"155","799276",2,FALSE,"Main St and Grand St",c(239946.628057596, 868834.180159623),"BAT"
"156","799277",2,FALSE,"Main St and Temple St",c(239921.674433938, 868929.561562148),"BAT"
"157","799278",2,FALSE,"Main St and Grove St",c(239897.768007529, 869000.84618711),"BAT"
"158","799279",2,FALSE,"Main St and Hancock St",c(239865.92191595, 869100.631755159),"BAT"
"159","799280",2,FALSE,"Main St and Main St Pl",c(239848.66823202, 869166.400492569),"BAT"
