"","stop_id","passing_values","frequent_stop","stop_name","geometry","RTA"
"135","2454462",1,FALSE,"160 Winthrop Avenue",c(228994.464401237, 937543.740977674),"MVRTA"
"136","2454463",2,FALSE,"North Andover Mall - AT&T",c(229892.123725805, 936960.039942768),"MVRTA"
"137","2454468",1,FALSE,"Heritage Place",c(228414.165401609, 937753.032441472),"MVRTA"
"138","2454477",2,FALSE,"Heritage Place",c(228424.980218556, 937832.755231088),"MVRTA"
"139","2454539",2,FALSE,"Middlesex Street & Moulton Avenue",c(215664.176534435, 932381.549693922),"MVRTA"
"140","2454566",3,FALSE,"MVRTA Lot",c(228548.080100777, 939764.480809915),"MVRTA"
"141","2454603",0,FALSE,"Westgate - Burlington Coat Factory",c(231551.565067345, 946984.757667603),"MVRTA"
"142","2454607",0,FALSE,"Monument Street & Broadway",c(231663.358043469, 948108.668986939),"MVRTA"
"143","2454647",0,FALSE,"Low Street & Wallace Bradshaw Jr Way",c(249568.041785801, 951394.14185028),"MVRTA"
"144","2454667",0,FALSE,"Low Street - Watts Eye",c(250372.224321302, 950941.718876789),"MVRTA"
"145","2559164",2,FALSE,"MVRTA Parking Garage - Newburyport",c(251220.504017111, 951467.233679315),"MVRTA"
"146","2579602",0,FALSE,"Plaistow Walmart",c(231846.87091848, 952832.348348806),"MVRTA"
"147","2579603",1,FALSE,"Plaistow Market Basket",c(232203.189609177, 952527.58921308),"MVRTA"
"148","2582998",0,FALSE,"Methuen Square",c(225585.103152837, 941953.217243817),"MVRTA"
"149","2586175",1,FALSE,"39 Hampshire Street",c(225476.109585471, 941975.120838996),"MVRTA"
"150","2586285",0,FALSE,"Carriagetown Marketplace - Stop & Shop",c(248140.744397966, 955354.255549522),"MVRTA"
"151","2586342",0,FALSE,"Essex Street & Franklin Street - Correction Center",c(227354.847928127, 939504.218514407),"MVRTA"
"152","2594062",0,FALSE,"Low Street - Army National Guard",c(250101.194074255, 951009.058938224),"MVRTA"
"153","2594072",0,FALSE,"Port Plaza - Kmart",c(248641.825019348, 952267.554283087),"MVRTA"
