"","stop_id","passing_values","frequent_stop","stop_name","geometry","RTA"
"153","802523",1,FALSE,"Willow Rest",c(268009.875003945, 932743.375816025),"CATA"
"154","802541",0,FALSE,"Castle Hill Rd",c(266302.856196301, 926650.818501087),"CATA"
"155","802543",0,FALSE,"Hesperus Ave & Newton Rd",c(265188.40303961, 925603.668917991),"CATA"
"156","802544",0,FALSE,"Norman & Lexington Ave",c(264691.213610173, 925512.042804127),"CATA"
"157","802547",0,FALSE,"Western Ave & Ryan Rd",c(264573.162492667, 926732.375419668),"CATA"
"158","807627",0,FALSE,"Eastern Ave & Barn Ln",c(270478.304011274, 930689.553353388),"CATA"
"159","807762",0,FALSE,"East Main St & Rocky Neck Ave",c(269367.169082484, 928450.768446316),"CATA"
"160","807764",0,FALSE,"Atlantic St & Moorland Rds",c(271048.750904444, 929209.437217232),"CATA"
"161","807765",0,FALSE,"Niles Beach",c(269456.451605115, 927732.364739022),"CATA"
"162","807773",0,FALSE,"Good Harbor Beach Footbridge",c(270883.346248029, 930032.535572256),"CATA"
"163","807775",0,FALSE,"Rocky Neck",c(269257.134981774, 928533.651181174),"CATA"
"164","807832",0,FALSE,"Bridge St - Variety Store",c(248508.552040616, 923127.224802021),"CATA"
"165","807834",0,FALSE,"Beverly City Hall",c(251012.373789002, 922098.103569225),"CATA"
"166","807835",0,FALSE,"Cabot St & Elliot St",c(251037.049731243, 922726.790370599),"CATA"
"167","807836",0,FALSE,"Cabot St & Rantoul St St",c(250972.692457019, 923187.759741216),"CATA"
"168","807838",0,FALSE,"Beverly Hospital",c(251336.483751084, 923913.938115473),"CATA"
"169","807841",0,FALSE,"Commuter Rail Station - Beverly",c(250492.25420874, 922034.065321744),"CATA"
"170","807842",0,FALSE,"Rantoul St & Edwards St",c(250510.960704182, 921722.302781056),"CATA"
"171","807843",0,FALSE,"Cabot St & Highland Ave",c(250876.384492537, 921795.162535735),"CATA"
"172","807846",0,FALSE,"Balch St Apartments",c(250188.483611134, 923849.290618681),"CATA"
"173","807847",0,FALSE,"Essex St - Kelleher Apartments",c(252170.586018188, 924028.521187031),"CATA"
"174","807848",0,FALSE,"Turtle Creek Apartments",c(252914.894931918, 924670.329702647),"CATA"
"175","807849",0,FALSE,"YMCA",c(252391.930793524, 924174.276835631),"CATA"
"176","807850",0,FALSE,"Cedar St Apartments",c(251646.032131747, 922982.31869152),"CATA"
"177","807851",0,FALSE,"Council on Aging",c(251398.438789973, 923572.392517658),"CATA"
"178","807852",0,FALSE,"Gloucester Crossing",c(250905.528036381, 923181.855892815),"CATA"
"179","807853",0,FALSE,"Rantoul St & Elliott St",c(250795.806426025, 922888.883018656),"CATA"
"180","807854",0,FALSE,"Cummings Center",c(250348.208107401, 923170.735702581),"CATA"
"181","807855",0,FALSE,"Stop & Shop",c(250431.909732394, 922896.823403619),"CATA"
"182","807857",0,FALSE,"Garden City Apartments",c(250828.543135446, 923412.126508321),"CATA"
"183","807864",0,FALSE,"North Beverly Plaza - Shaw's",c(250185.394023666, 925324.982776203),"CATA"
"184","807884",0,FALSE,"Cabot St & Edwards St",c(250695.886184032, 921609.088926333),"CATA"
"185","807887",0,FALSE,"Elliott St & Cabot St",c(251003.550765129, 922758.015696262),"CATA"
"186","807888",0,FALSE,"Rantoul St & Broadway",c(250582.538044225, 922118.196926367),"CATA"
"187","807891",0,FALSE,"Elliott St & Beckford St",c(250536.905496761, 922948.679290048),"CATA"
"188","807892",0,FALSE,"Herrick St & Sohier Rd",c(250939.165719241, 923790.775995393),"CATA"
"189","807893",0,FALSE,"Elliott St & Bridge St",c(248564.721783245, 923168.011188576),"CATA"
"190","807895",0,FALSE,"Pleasant St & Cabot St",c(250814.982722568, 921711.803174766),"CATA"
"191","815374",0,FALSE,"Good Harbor Beach",c(271216.633538671, 930592.170053234),"CATA"
