timetable_id,stop_id,stop_sequence,stop_name,connected_routes
8,807108,29,Stop and Shop Plaza,11/Cary Hill & The Village
8,799673,30,Winter Street and Monument Street,11/Cary Hill & The Village
8,799674,31,Winter Street and Dyer Street,11/Cary Hill & The Village
8,799675,32,Winter Street and Andover Street,11/Cary Hill & The Village
8,799676,33,Winter Street and Sawtelle Avenue,11/Cary Hill & The Village
8,799677,34,Winter Street and Field Street,11/Cary Hill & The Village
8,799678,35,Winter Street and North Avenue,11/Cary Hill & The Village
8,799679,36,Winter Street and Baltic Avenue,11/Cary Hill & The Village
8,799680,37,Winter Street and N Cary Street,11/Cary Hill & The Village
8,799681,38,Winter St./N Carey St.,11/Cary Hill & The Village
9,799180,1,BAT Centre,"10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village, 12/Routes to Boston and Beyond , 14/Stoughton via Brockton, 1/Montello Street Via North Main Street, 2/S Plaza/Campello Via Main Street, 3/VA Hospital via Belmont, 4A/Westgate Mall via N Warren, 4/Westgate via Pleasant, 5/Brockton Hospital via Centre Street, 6/Massasoit via Crescent Street, 8/Southfield via Warren & Plain Street, 9/Pearl via W Elm & Torrey, BSU 28/Bridgewater - Brockton"
9,799648,2,N Montello Street and Linden Street,11/Cary Hill & The Village
9,799649,3,N Montello Street and Charles Street,11/Cary Hill & The Village
9,799650,4,N Montello Street and Elliott Street,11/Cary Hill & The Village
9,799651,5,N Montello Street and Lebanon Street,11/Cary Hill & The Village
9,799652,6,N  Montello Street and E Ashland Street,11/Cary Hill & The Village
9,799653,7,E Ashland Street and Mulberry Street,11/Cary Hill & The Village
9,799654,8,E Ashland Street and Emmett Street,11/Cary Hill & The Village
9,799655,9,E Ashland Street and River Street,11/Cary Hill & The Village
9,799656,10,Cary Hill Plaza,11/Cary Hill & The Village
9,799657,11,N Cary Street and Miller Avenue,11/Cary Hill & The Village
9,799658,12,Ames Street and Ridge Street,11/Cary Hill & The Village
9,799659,13,Ames Street and Edgar Street,11/Cary Hill & The Village
9,799660,14,Sawtelle Avenue and St. Casimir Avenue,11/Cary Hill & The Village
9,799661,15,Sawtelle Avenue and Arthur Street,11/Cary Hill & The Village
9,799662,16,Arthur Street,11/Cary Hill & The Village
9,799663,17,Arthur Street and Intervale Street,11/Cary Hill & The Village
9,799664,18,Intervale Street and Bellevue Avenue,11/Cary Hill & The Village
9,799665,19,Intervale Street and Faxon Street,11/Cary Hill & The Village
9,799666,20,Intervale Street and Blendall Street,11/Cary Hill & The Village
9,799667,21,Crosby Gardens,11/Cary Hill & The Village
9,799668,22,Nort Avenue and Sawtelle Avenue,11/Cary Hill & The Village
9,799669,23,Sawtelle Avenue and Field Street,11/Cary Hill & The Village
9,799670,24,Field Street and Morgan Street,11/Cary Hill & The Village
9,799671,25,Field Street and Dyer Street,11/Cary Hill & The Village
9,799609,26,Field Street and Spark Street,"10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village"
9,799611,27,Spark Street and Sylvan Street,"10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village"
9,799612,28,Spark Street and Cameron Cooper Street,"10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village"
9,807108,29,Stop and Shop Plaza,11/Cary Hill & The Village
9,799673,30,Winter Street and Monument Street,11/Cary Hill & The Village
9,799674,31,Winter Street and Dyer Street,11/Cary Hill & The Village
9,799675,32,Winter Street and Andover Street,11/Cary Hill & The Village
9,799676,33,Winter Street and Sawtelle Avenue,11/Cary Hill & The Village
9,799677,34,Winter Street and Field Street,11/Cary Hill & The Village
9,799678,35,Winter Street and North Avenue,11/Cary Hill & The Village
9,799679,36,Winter Street and Baltic Avenue,11/Cary Hill & The Village
9,799680,37,Winter Street and N Cary Street,11/Cary Hill & The Village
9,799681,38,Winter St./N Carey St.,11/Cary Hill & The Village
10,799681,1,Winter St./N Carey St.,11/Cary Hill & The Village
10,799682,2,Amark Road and Cynthia Drive,11/Cary Hill & The Village
10,799683,3,Coe Road and Upton Street,11/Cary Hill & The Village
10,799684,4,Coe Road and Norwich Road,11/Cary Hill & The Village
10,799685,5,Coe Road and Alphonse Road,11/Cary Hill & The Village
10,799686,6,Alphonse Road and Annella Road,11/Cary Hill & The Village
10,799687,7,Alphonse Road and Waleco Road,11/Cary Hill & The Village
10,799688,8,Colgate Road and Nicholson Road,11/Cary Hill & The Village
10,799689,9,Colgate Road and E. Ashland Street,11/Cary Hill & The Village
10,799690,10,E Ashland Street and Bishop Street,11/Cary Hill & The Village
10,799691,11,E Ashland Street and Eastfield Drive,11/Cary Hill & The Village
10,799692,12,E Ashland Street and Thayer Street,11/Cary Hill & The Village
10,799693,13,E Ashland Street and N Cary Street,11/Cary Hill & The Village
10,799694,14,E Ashland Street and River Street,11/Cary Hill & The Village
10,799695,15,E Ashland Street and Emmet Street,11/Cary Hill & The Village
10,799696,16,E Ashland Street and Mulberry Street,11/Cary Hill & The Village
10,799697,17,N Montello Street and E Ashland Street,11/Cary Hill & The Village
10,799698,18,N Montello Street and Lebanon Street,11/Cary Hill & The Village
10,799699,19,N Montello Street and Elliot Street,11/Cary Hill & The Village
10,799700,20,N Montello Street and Charles Street,11/Cary Hill & The Village
10,799180,21,BAT Centre,"10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village, 12/Routes to Boston and Beyond , 14/Stoughton via Brockton, 1/Montello Street Via North Main Street, 2/S Plaza/Campello Via Main Street, 3/VA Hospital via Belmont, 4A/Westgate Mall via N Warren, 4/Westgate via Pleasant, 5/Brockton Hospital via Centre Street, 6/Massasoit via Crescent Street, 8/Southfield via Warren & Plain Street, 9/Pearl via W Elm & Torrey, BSU 28/Bridgewater - Brockton"
11,799681,1,Winter St./N Carey St.,11/Cary Hill & The Village
11,799682,2,Amark Road and Cynthia Drive,11/Cary Hill & The Village
11,799683,3,Coe Road and Upton Street,11/Cary Hill & The Village
11,799684,4,Coe Road and Norwich Road,11/Cary Hill & The Village
11,799685,5,Coe Road and Alphonse Road,11/Cary Hill & The Village
11,799686,6,Alphonse Road and Annella Road,11/Cary Hill & The Village
11,799687,7,Alphonse Road and Waleco Road,11/Cary Hill & The Village
11,799688,8,Colgate Road and Nicholson Road,11/Cary Hill & The Village
11,799689,9,Colgate Road and E. Ashland Street,11/Cary Hill & The Village
11,799690,10,E Ashland Street and Bishop Street,11/Cary Hill & The Village
11,799691,11,E Ashland Street and Eastfield Drive,11/Cary Hill & The Village
11,799692,12,E Ashland Street and Thayer Street,11/Cary Hill & The Village
11,799693,13,E Ashland Street and N Cary Street,11/Cary Hill & The Village
11,799694,14,E Ashland Street and River Street,11/Cary Hill & The Village
11,799695,15,E Ashland Street and Emmet Street,11/Cary Hill & The Village
11,799696,16,E Ashland Street and Mulberry Street,11/Cary Hill & The Village
11,799697,17,N Montello Street and E Ashland Street,11/Cary Hill & The Village
11,799698,18,N Montello Street and Lebanon Street,11/Cary Hill & The Village
11,799699,19,N Montello Street and Elliot Street,11/Cary Hill & The Village
11,799700,20,N Montello Street and Charles Street,11/Cary Hill & The Village
11,799180,21,BAT Centre,"10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village, 12/Routes to Boston and Beyond , 14/Stoughton via Brockton, 1/Montello Street Via North Main Street, 2/S Plaza/Campello Via Main Street, 3/VA Hospital via Belmont, 4A/Westgate Mall via N Warren, 4/Westgate via Pleasant, 5/Brockton Hospital via Centre Street, 6/Massasoit via Crescent Street, 8/Southfield via Warren & Plain Street, 9/Pearl via W Elm & Torrey, BSU 28/Bridgewater - Brockton"
12,799681,1,Winter St./N Carey St.,11/Cary Hill & The Village
12,799682,2,Amark Road and Cynthia Drive,11/Cary Hill & The Village
12,799683,3,Coe Road and Upton Street,11/Cary Hill & The Village
12,799684,4,Coe Road and Norwich Road,11/Cary Hill & The Village
12,799685,5,Coe Road and Alphonse Road,11/Cary Hill & The Village
12,799686,6,Alphonse Road and Annella Road,11/Cary Hill & The Village
12,799687,7,Alphonse Road and Waleco Road,11/Cary Hill & The Village
12,799688,8,Colgate Road and Nicholson Road,11/Cary Hill & The Village
12,799689,9,Colgate Road and E. Ashland Street,11/Cary Hill & The Village
12,799690,10,E Ashland Street and Bishop Street,11/Cary Hill & The Village
12,799691,11,E Ashland Street and Eastfield Drive,11/Cary Hill & The Village
12,799692,12,E Ashland Street and Thayer Street,11/Cary Hill & The Village
12,799693,13,E Ashland Street and N Cary Street,11/Cary Hill & The Village
12,799694,14,E Ashland Street and River Street,11/Cary Hill & The Village
12,799695,15,E Ashland Street and Emmet Street,11/Cary Hill & The Village
12,799696,16,E Ashland Street and Mulberry Street,11/Cary Hill & The Village
12,799697,17,N Montello Street and E Ashland Street,11/Cary Hill & The Village
12,799698,18,N Montello Street and Lebanon Street,11/Cary Hill & The Village
12,799699,19,N Montello Street and Elliot Street,11/Cary Hill & The Village
12,799700,20,N Montello Street and Charles Street,11/Cary Hill & The Village
12,799180,21,BAT Centre,"10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village, 12/Routes to Boston and Beyond , 14/Stoughton via Brockton, 1/Montello Street Via North Main Street, 2/S Plaza/Campello Via Main Street, 3/VA Hospital via Belmont, 4A/Westgate Mall via N Warren, 4/Westgate via Pleasant, 5/Brockton Hospital via Centre Street, 6/Massasoit via Crescent Street, 8/Southfield via Warren & Plain Street, 9/Pearl via W Elm & Torrey, BSU 28/Bridgewater - Brockton"
13,799180,1,BAT Centre,"10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village, 12/Routes to Boston and Beyond , 14/Stoughton via Brockton, 1/Montello Street Via North Main Street, 2/S Plaza/Campello Via Main Street, 3/VA Hospital via Belmont, 4A/Westgate Mall via N Warren, 4/Westgate via Pleasant, 5/Brockton Hospital via Centre Street, 6/Massasoit via Crescent Street, 8/Southfield via Warren & Plain Street, 9/Pearl via W Elm & Torrey, BSU 28/Bridgewater - Brockton"
13,799574,2,Court Street and Hunt Street,10/Lisa & Howard via N Quincy & Court
13,799575,3,Court Street and Manchester Street,10/Lisa & Howard via N Quincy & Court
13,799576,4,Court Street and Tyler Street,10/Lisa & Howard via N Quincy & Court
13,799577,5,Court Street and Albert Avenue,10/Lisa & Howard via N Quincy & Court
13,799578,6,Court Street and Rufus Street,10/Lisa & Howard via N Quincy & Court
13,799579,7,Court Street and Cary Street,10/Lisa & Howard via N Quincy & Court
13,799580,8,Court Street and Rainville Street,10/Lisa & Howard via N Quincy & Court
13,799581,9,Court Street and Ida Avenue,10/Lisa & Howard via N Quincy & Court
13,799582,10,Court Street and Kathleen Road,10/Lisa & Howard via N Quincy & Court
13,799583,11,Court Street and Pontiac Road,10/Lisa & Howard via N Quincy & Court
13,799584,12,Court Street and Mildred Avenue,10/Lisa & Howard via N Quincy & Court
13,799585,13,Court Street at Cardinal Spellman,10/Lisa & Howard via N Quincy & Court
13,799586,14,Court Street and Deed Circle,10/Lisa & Howard via N Quincy & Court
13,799587,15,Court Street and Quincy Street,10/Lisa & Howard via N Quincy & Court
