stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
799602,,,Hovendon Avenue and Sully Road,,42.115806,-71.006978,863,,0,,America/New_York,,,0
799535,,,Torrey Street and Rockland Street,,42.071449,-71.060126,863,,0,,America/New_York,,,0
799759,,,Reedsdale Road and Coolidge Road,,42.251511,-71.074202,865,,0,,America/New_York,,,0
799659,,,Ames Street and Edgar Street,,42.100848,-71.010521,863,,0,,America/New_York,,,0
799843,,,W Main Street and Pond Street,,42.128813,-71.042024,867,,0,,America/New_York,,,0
799878,,,Torrey Street and Circle Drive,,42.072832,-71.052147,863,,0,,America/New_York,,,0
799938,,,Oak Street across from Village Way,,42.101704,-71.032861,863,,0,,America/New_York,,,0
799997,,,Helen Hansen School,,42.130922,-71.130306,,,0,,America/New_York,,,0
799332,,,Crescent Street and Maple Avenue,,42.081221,-71.018556,863,,0,,America/New_York,,,0
799726,,,S Main Street and North Street,,42.163223,-71.041702,866,,0,,America/New_York,,,0
799463,,,Perkins Street and Crescent Street,,42.0807250138914,-71.0155001079693,863,,0,,America/New_York,,,0
799434,,,Lawrence Street and grover Street,,42.0770285030646,-71.0119819117089,863,,0,,America/New_York,,,0
799900,,,North Pearl Street and Cashman Drive,,42.091966,-71.064434,863,,0,,America/New_York,,,0
799451,,,Crescent Street and Dunham Street,,42.080668,-70.994242,863,,0,,America/New_York,,,0
799611,,,Spark Street and Sylvan Street,,42.107121,-71.021001,863,,0,,America/New_York,,,0
799201,,,N Main Street and Waldo Street,,42.110275,-71.0319,863,,0,,America/New_York,,,0
799376,,,Pleasant Street and West Street,,42.0888412379078,-71.0456598601189,863,,0,,America/New_York,,,0
799737,,,N Main Street and Pond Street,,42.191635,-71.059196,866,,0,,America/New_York,,,0
799824,,,N Main Street and Nelson Drive,,42.17071,-71.04657,866,,0,,America/New_York,,,0
799681,,,Winter St./N Carey St.,,42.1044549349653,-71.0041627141209,863,,0,,America/New_York,,,0
799840,,,S Main Street and Langley Road,,42.137243,-71.040184,866,,0,,America/New_York,,,0
799400,,,Centre Street and Galen Street,,42.085686,-70.994451,863,,0,,America/New_York,,,0
799933,,,Oak Street and Catham West Drive,,42.101785,-71.050234,863,,0,,America/New_York,,,0
799786,,,Dorchester Avenue and Mother Julia Road,,42.274653,-71.067509,864,,0,,America/New_York,,,0
799350,,,Mall Entrance,,42.091588229533,-71.049549880951,863,,0,,America/New_York,,,0
799930,,,DW Field Golf Course,,42.101246,-71.039561,863,,0,,America/New_York,,,0
799927,,,N Warren Avenue Ext. and Oak Street,,42.102211,-71.030088,863,,0,,America/New_York,,,0
799915,,,Spring Street and Walnut Street,,42.086655,-71.022189,863,,0,,America/New_York,,,0
799405,,,Libby Street and Quincy Avenue,,42.088652,-70.989883,863,,0,,America/New_York,,,0
799439,,,Crescent Street and perry Avenue,,42.080232,-71.00051,863,,0,,America/New_York,,,0
799536,,,Torrey Street and Pearl Street at Synagogue,,42.070864,-71.064131,863,,0,,America/New_York,,,0
799361,,,Oak Street Ext and Reservior Street,,42.100244,-71.063231,863,,0,,America/New_York,,,0
799631,,,228 North Quincy Street,,42.103127,-70.991979,863,,0,,America/New_York,,,0
799460,,,Lawrence Street and Otis Street,,42.077089,-71.012384,863,,0,,America/New_York,,,0
799213,,,W Main Street and E Main Street,,42.114141,-71.03448,867,,0,,America/New_York,,,0
799583,,,Court Street and Pontiac Road,,42.091868,-70.998097,863,,0,,America/New_York,,,0
799616,,,449 Howard Street,,42.117077,-71.019453,863,,0,,America/New_York,,,0
799521,,,W Elm Street and N Arlington Street,,42.081662,-71.027878,863,,0,,America/New_York,,,0
800054,,,546 Pleasant Street,,42.089418,-71.041884,863,,0,,America/New_York,,,0
799403,,,Centre Street and Sterling Road,,42.086262,-70.990323,863,,0,,America/New_York,,,0
799760,,,Milton Hospital,,42.254503,-71.077289,865,,0,,America/New_York,,,0
799923,,,N Warren Avenue and Battles Street,,42.097399,-71.027977,863,,0,,America/New_York,,,0
799797,,,Central Avenue and Russelwood Road,,42.259724,-71.080897,865,,0,,America/New_York,,,0
799873,,,West Street at Thorny Lee Terrace,,42.083733,-71.045205,863,,0,,America/New_York,,,0
799610,,,MBTA Montello Station,,42.1066069966931,-71.020649095562,863,,0,,America/New_York,,,0
799232,,,N Main Street and Prospect Street,,42.091381,-71.01939,863,,0,,America/New_York,,,0
799905,,,Oak Street and Wal-Mart service road,,42.0984520253504,-71.0560413779793,863,,0,,America/New_York,,,0
799492,,,Carl Avenue and Plain Street,,42.0535196553416,-70.9974953730164,863,,0,,America/New_York,,,0
799480,,,Plain Street and Campello High rise,,42.0595251633335,-71.0116204576721,863,,0,,America/New_York,,,0
799487,,,Carl Avenue and Bristol Avenue,,42.063588,-70.999465,863,,0,,America/New_York,,,0
799781,,,Dorchester Avenue and Mercier Street,,42.282883,-71.065164,864,,0,,America/New_York,,,0
799581,,,Court Street and Ida Avenue,,42.089571,-71.002354,863,,0,,America/New_York,,,0
799809,,,Randolph Avenue and Hallen Street,,42.23864,-71.069669,865,,0,,America/New_York,,,0
799445,,,Supreme Donut,,42.081373,-70.988824,863,,0,,America/New_York,,,0
799423,,,Centre Street and Sheridan Street,,42.085256,-70.997444,863,,0,,America/New_York,,,0
799245,,,Main Street and Dover Street,,42.075168,-71.019388,863,,0,,America/New_York,,,0
799722,,,S Main Street and Terry Drive,,42.156076,-71.044369,866,,0,,America/New_York,,,0
799721,,,S Main Street and Richard Road,,42.151684,-71.044319,866,,0,,America/New_York,,,0
799819,,,N Main Street and Gordon Street,,42.188318,-71.057221,866,,0,,America/New_York,,,0
799831,,,S Main Street and N Main Street,,42.162293,-71.041597,866,,0,,America/New_York,,,0
799777,,,Dorchester Avenue and Van Winkle Street,,42.281952,-71.065285,864,,0,,America/New_York,,,0
799646,,,Court Street and Peckham Avenue,,42.086317,-71.012718,863,,0,,America/New_York,,,0
799980,,,Park Street at Walnut (Library),,42.122616,-71.099281,,,0,,America/New_York,,,0
799538,,,Pearl Street and Almon Avenue,,42.067244,-71.06516,863,,0,,America/New_York,,,0
799815,,,N Main Street and Waldo Street,,42.196077,-71.06099,866,,0,,America/New_York,,,0
