DOW,stop_id,direction_id,firstArrival_mam,lastArrival_mam,trips,averageHeadway,longestHeadway,Percentile90_hw,span_min,span_max,freq_min,span_pass,freq_pass,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon
WD,3460639,NA,500.4457369113923,1000.178294764557,5,124.93313946329117,139.73255785316462,133.81279049721525,420,1140,15,FALSE,FALSE,,,133 Brimbal Ave Dialysis,,42.5742590980758,-70.8772725402071
WD,3460640,NA,501.2377640834209,1000.4951056333684,5,124.81433538748688,139.25734154994745,133.48013908496324,420,1140,15,FALSE,FALSE,,,128 Cycles,,42.5715297494344,-70.8752885791225
WD,3460642,NA,513.7770789078226,873.7770789078227,3,180.00000000000006,240.0000000000001,228.00000000000009,420,1140,15,FALSE,FALSE,,,Henry's Food Mart,,42.571743870978,-70.8935987186822
WD,3460643,NA,560,945,4,128.33333333333334,145,140,420,1140,15,FALSE,FALSE,,,Trask Ln & Folly Hill,,42.5685642413802,-70.907498442901
WD,3460645,NA,401.7776021959894,826.1394862195981,5,106.09047100590217,120,120,420,1140,15,FALSE,FALSE,,,Giles Ave,,42.5530575381212,-70.9035006327614
WD,3460646,NA,448,448,1,NA,-Inf,NA,420,1140,15,FALSE,NA,,,McPherson Dr & Elliott St,,42.5559783168585,-70.8857557170421
WD,3460647,NA,532.1578541173443,1027,5,123.71053647066393,135,130.75264376479672,420,1140,15,FALSE,FALSE,,,Beverly Library,,42.551213500289,-70.8764826769488
WD,3460648,NA,575,960,4,128.33333333333334,145,140,420,1140,15,FALSE,FALSE,,,Market Basket,,42.5509328333064,-70.9327668707202
WD,3460649,NA,507.464825006677,627.4648250066771,2,120.00000000000006,120.00000000000006,120.00000000000006,420,1140,15,FALSE,FALSE,,,Cabot Plaza,,42.5589889665313,-70.8822133230542
WD,798299,NA,387,1043.4043799651317,16,43.76029199767545,105,60,420,1140,15,FALSE,FALSE,,,Addison Gilbert Hospital,,42.6259314,-70.6799482
WD,798300,NA,381,966,6,117,120,120,420,1140,15,FALSE,FALSE,,,Annisquam Village Church,,42.66154202,-70.67109183
WD,798305,NA,520,1000,5,120,120,120,420,1140,15,FALSE,FALSE,,,Atlantic St & Moorland Rds,,42.6102123,-70.6339853
WD,798312,NA,1038.9028387982378,1038.9028387982378,1,NA,-Inf,NA,420,1140,15,FALSE,NA,,,Blackburn Industrial Park,,42.627331,-70.654977
WD,798314,NA,534,1014,5,120,120,120,420,1140,15,FALSE,FALSE,,,Cape Hedge Inn,,42.641125,-70.600708
WD,798323,NA,528,1048.9901546030471,10,57.88779495589412,60,60,420,1140,15,FALSE,FALSE,,,Curtis - Clark Building,,42.6158244,-70.6599199
