DOW,stop_id,direction_id,firstArrival_mam,lastArrival_mam,trips,averageHeadway,longestHeadway,Percentile90_hw,span_min,span_max,freq_min,span_pass,freq_pass,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon
SA,814856,NA,494.23333333333335,1094.2333333333333,11,60,60,60,480,1110,20,FALSE,FALSE,504,,910 Andover Street,,42.646634,-71.271408
SA,814857,NA,567.6833333333333,1107.6833333333334,7,90.00000000000001,90.00000000000011,90.00000000000006,480,1110,20,FALSE,FALSE,505,,Gorham St & Carter St,,42.6297821115488,-71.3081303206731
SA,814860,NA,497.51666666666665,1037.5166666666667,10,60,60,60,480,1110,20,FALSE,FALSE,508,,Bridge St & 13th St,,42.657213,-71.303336
SA,814861,NA,488,1028,10,60,60,60,480,1110,20,FALSE,FALSE,509,,Cross Point Tower,,42.6151587357173,-71.3267485782447
SA,814862,NA,525.3666666666667,1107.5333333333333,17,36.385416666666664,60,60,480,1110,20,FALSE,FALSE,510,,Gorham St & Moore St,,42.6291424390055,-71.308120715918
SA,814863,NA,451.75,1021.3833333333333,17,35.60208333333333,60,60,480,1110,20,FALSE,FALSE,511,,Gorham St & Dix St,,42.6291907492164,-71.3082793184853
SA,814865,NA,484.3,1084.3,11,59.99999999999999,60,60,480,1110,20,FALSE,FALSE,513,,Main St & Summer St,,42.61296,-71.235667
SA,814866,NA,492,1032,10,60,60,60,480,1110,20,FALSE,FALSE,514,,Lakeview Ave & Campaw St,,42.661055,-71.317228
SA,814867,NA,485.23333333333335,1025.2333333333333,10,60,60,60,480,1110,20,FALSE,FALSE,515,,Boston Rd & Cunningham St,,42.6214817859939,-71.3122346527236
SA,814868,NA,559.1333333333333,1099.1333333333334,10,60.000000000000014,60.000000000000114,60.00000000000002,480,1110,20,FALSE,FALSE,516,,Lakeview Ave & Christine Ave,,42.685909,-71.397442
SA,814869,NA,504.6166666666667,1104.6166666666666,11,59.999999999999986,60,60,480,1110,20,FALSE,FALSE,517,,Wentworth Ave & Mansur St,,42.6405547413164,-71.2876894856292
SA,814870,NA,441.55,1041.55,11,59.99999999999999,60,60,480,1110,20,FALSE,FALSE,518,,Main St & Summer St,,42.6130117154695,-71.2361993573182
SA,814871,NA,494.6166666666667,1094.6166666666666,11,59.999999999999986,60,60,480,1110,20,FALSE,FALSE,519,,Burnham Rd & Florence St,,42.648926,-71.272606
SA,814872,NA,484,1084,11,60,60,60,480,1110,20,FALSE,FALSE,520,,Tewksbury Town Hall,,42.6122067007673,-71.2332689533729
SA,814873,NA,543.5833333333334,1083.5833333333333,7,89.99999999999999,90,90,480,1110,20,FALSE,FALSE,521,,Billerica Rd & Hildreth St,,42.5991652828479,-71.3425400974456
SA,814874,NA,565.9666666666667,1105.9666666666667,10,60,60,60,480,1110,20,FALSE,FALSE,522,,Chelmsford Rd & Executive Park Dr,,42.587739,-71.306565
SA,814875,NA,455.25,1055.25,11,60,60,60,480,1110,20,FALSE,FALSE,523,,Main St & Hill St,,42.5862678935864,-71.199371226145
SA,814877,NA,500.2,1040.2,7,90.00000000000001,90.00000000000006,90.00000000000003,480,1110,20,FALSE,FALSE,525,,Billerica Rd & Hildreth St,,42.599279,-71.342649
SA,814879,NA,487.71666666666664,1097.7166666666667,11,61.00000000000001,70,61.00000000000004,480,1110,20,FALSE,FALSE,528,,Across From 1075 Westford St,,42.6295680229184,-71.3541011350382
SA,814880,NA,501.25,1041.25,10,60,60,60,480,1110,20,FALSE,FALSE,529,,Concord Rd & Campbell Rd,,42.550501,-71.273647
SA,814882,NA,452.68333333333334,1022.1166666666667,17,35.58958333333334,60,60,480,1110,20,FALSE,FALSE,532,,Gorham St & O'Connor Dr,,42.623731,-71.306371
SA,814883,NA,483.28333333333336,1023.2833333333333,7,89.99999999999999,90,90,480,1110,20,FALSE,FALSE,533,,Carlisle St & Devine Ave,,42.6152450130902,-71.3059734454703
SA,814884,NA,452.98333333333335,1022.35,17,35.58541666666667,60,60,480,1110,20,FALSE,FALSE,535,,Gorham St & Lundberg St,,42.6219977799098,-71.3057061981771
SA,814885,NA,456,996,10,60,60,60,480,1110,20,FALSE,FALSE,536,,Gorham St & Carlisle St,,42.604401397667,-71.299558922803
SA,814886,NA,453.3333333333333,1022.6166666666667,17,35.58020833333333,60,60,480,1110,20,FALSE,FALSE,537,,Gorham St & Corbett St,,42.6199841116083,-71.3050646778943
SA,814887,NA,488.18333333333334,1028.1833333333334,10,60.00000000000001,60.000000000000114,60.00000000000002,480,1110,20,FALSE,FALSE,538,,Middlesex St & Foster St,,42.638414,-71.339624
SA,814888,NA,453.45,1022.7166666666667,17,35.579166666666666,60,60,480,1110,20,FALSE,FALSE,539,,Gorham St & Cosgrove St,,42.6192263293929,-71.3048325762564
SA,814890,NA,489,1029,10,60,60,60,480,1110,20,FALSE,FALSE,541,,Middlesex St & Pawtucket St,,42.6383157310335,-71.3427680046511
SA,814891,NA,522.15,1062.15,10,60.000000000000014,60.000000000000114,60.00000000000002,480,1110,20,FALSE,FALSE,542,,Gorham St & Rivers Edge Rd,,42.6168984305243,-71.303951546857
SA,814892,NA,504.3666666666667,1044.3666666666666,10,59.999999999999986,60,60,480,1110,20,FALSE,FALSE,543,,Middlesex Tpk & Oak Park Dr,,42.519058069755,-71.2467633047185
SA,814894,NA,567.6166666666667,1107.6166666666666,10,59.999999999999986,60,60,480,1110,20,FALSE,FALSE,545,,Lakeview Ave & Litchfield Ave,,42.676433,-71.336721
