DOW,stop_id,firstArrival_mam,lastArrival_mam,trips,averageHeadway,longestHeadway,Percentile90_hw,span_min,span_max,freq_min,span_pass,freq_pass,stop_code,stop_name,stop_desc,platform_code,stop_lat,stop_lon
WD,2729,292,1525,124,10.024390243902438,47,18.599999999999994,420,1140,15,TRUE,TRUE,2729,Broadway @ Main St,,,42.394765,-71.097355
WD,2731,293,1526,73,17.125,57,26.900000000000006,420,1140,15,TRUE,FALSE,2731,Broadway opp Glenwood Rd,,,42.3963,-71.101014
WD,2733,293,1526,73,17.125,56,26,420,1140,15,TRUE,FALSE,2733,Broadway @ Medford St - Magoun Sq,,,42.397313,-71.104121
WD,2734,294,1527,109,11.416666666666666,49,24.299999999999997,420,1140,15,TRUE,TRUE,2734,Broadway @ William St,,,42.397876,-71.105925
WD,2735,294,1527,109,11.416666666666666,49,24.299999999999997,420,1140,15,TRUE,TRUE,2735,Broadway @ Alfred St,,,42.398403,-71.107573
WD,2736,295,1528,109,11.416666666666666,48,25,420,1140,15,TRUE,TRUE,2736,Broadway @ Boston Ave - Ball Sq,,,42.399894,-71.112006
WD,2737,296,1529,109,11.416666666666666,49,25,420,1140,15,TRUE,TRUE,2737,Broadway @ Pearson Rd,,,42.400501,-71.113803
WD,2738,296,1529,109,11.416666666666666,48,25,420,1140,15,TRUE,TRUE,2738,Broadway @ Warner St - Powder House Sq,,,42.401138,-71.116273
WD,2740,296,1155,20,45.21052631578947,319,35,420,1140,15,TRUE,FALSE,2740,Broadway @ Walker St,,,42.400861,-71.117961
WD,2741,297,1156,20,45.21052631578947,319,35,420,1140,15,TRUE,FALSE,2741,Broadway @ Leonard St,,,42.401089,-71.120555
WD,2742,297,1156,20,45.21052631578947,319,35,420,1140,15,TRUE,FALSE,2742,Broadway @ Mason St,,,42.401631,-71.122806
WD,2743,298,1157,20,45.21052631578947,319,35,420,1140,15,TRUE,FALSE,2743,Broadway @ Packard Ave,,,42.402272,-71.124828
WD,2745,406,1307,21,45.05,67,65,420,1140,15,TRUE,FALSE,2745,Cross St @ Pearl St,,,42.385796,-71.087692
WD,2746,407,1308,21,45.05,67,65,420,1140,15,TRUE,FALSE,2746,Cross St @ Ellsworth St,,,42.387146,-71.086847
WD,2747,407,1308,21,45.05,67,65,420,1140,15,TRUE,FALSE,2747,Cross St @ Broadway,,,42.388509,-71.085968
WD,2748,400,1335,22,44.523809523809526,65,65,420,1140,15,TRUE,FALSE,2748,Cross St @ Broadway,,,42.388493,-71.086116
WD,2749,400,1335,22,44.523809523809526,65,65,420,1140,15,TRUE,FALSE,2749,Cross St @ Otis St,,,42.387135,-71.086991
WD,275,313,1478,180,6.5083798882681565,55,20,420,1140,15,TRUE,TRUE,275,E 8th @ Columbia Rd,,,42.331565,-71.030048
WD,2750,401,1336,22,44.523809523809526,65,65,420,1140,15,TRUE,FALSE,2750,Cross St @ Pearl St,,,42.38578,-71.087844
WD,2752,401,1336,22,44.523809523809526,65,65,420,1140,15,TRUE,FALSE,2752,Cross St @ Flint St,,,42.384718,-71.088713
WD,2753,402,1337,22,44.523809523809526,65,65,420,1140,15,TRUE,FALSE,2753,Cross St @ Auburn Ave,,,42.383766,-71.089538
WD,2754,402,1337,22,44.523809523809526,65,65,420,1140,15,TRUE,FALSE,2754,Cross St @ Chester Ave,,,42.38255,-71.090245
WD,2755,268,1488,249,4.919354838709677,41,13,420,1140,15,TRUE,TRUE,2755,Green St @ Pearl St,,,42.364128,-71.103034
WD,2757,301,1496,90,13.426966292134832,45,35,420,1140,15,TRUE,TRUE,2757,Cambridge St @ Brighton St,,,42.38258,-71.078386
WD,2759,302,1497,90,13.426966292134832,44,35,420,1140,15,TRUE,TRUE,2759,Washington St @ Mt Vernon St,,,42.381986,-71.082176
WD,2761,303,1498,90,13.426966292134832,44,34.2,420,1140,15,TRUE,TRUE,2761,Washington St @ Tufts St,,,42.381038,-71.087483
WD,27618,312,1479,43,27.785714285714285,60,47.39999999999999,420,1140,15,TRUE,FALSE,27618,Washington St @ Guild St,,,42.191284,-71.202528
WD,2762,304,1499,126,9.56,44,20,420,1140,15,TRUE,TRUE,2762,Washington St @ McGrath Hwy,,,42.38033,-71.089759
WD,2763,304,1499,90,13.426966292134832,44,34.2,420,1140,15,TRUE,TRUE,2763,Washington St @ Boston St,,,42.379859,-71.090824
WD,277,314,1479,180,6.5083798882681565,55,20,420,1140,15,TRUE,TRUE,277,E 8th St @ M St,,,42.331537,-71.033111
WD,2773,340,1519,90,13.247191011235955,42,28.200000000000003,420,1140,15,TRUE,TRUE,2773,Washington St @ Merriam St,,,42.379411,-71.092286
WD,2774,341,1520,127,9.357142857142858,42,22.5,420,1140,15,TRUE,TRUE,2774,Washington St @ Medford St,,,42.379792,-71.089974
WD,2776,342,1521,90,13.247191011235955,41,28.200000000000003,420,1140,15,TRUE,TRUE,2776,Washington St @ New Washington St,,,42.381241,-71.086308
WD,2777,344,1522,127,9.34920634920635,41,22.5,420,1140,15,TRUE,TRUE,2777,Washington St @ Inner Belt Rd,,,42.382012,-71.081316
WD,2778,343,1522,127,9.357142857142858,41,22.5,420,1140,15,TRUE,TRUE,2778,Washington St opp Myrtle St,,,42.381576,-71.084037
WD,2779,345,1523,90,13.235955056179776,41,28.200000000000003,420,1140,15,TRUE,TRUE,2779,Cambridge St @ Carter St,,,42.382304,-71.078998
