"stop_id","stop_lat","stop_lon"
"1145",42.329752,-71.090903
"1147",42.328969,-71.086206
"1148",42.329687,-71.08613
"11481",42.346301,-71.063361
"11482",42.318783,-71.069142
"114878",42.267545,-70.851408
"114882",42.267524,-70.851699
"1149",42.330096,-71.091343
"1150",42.329386,-71.094099
"11501",42.317585,-71.066499
"1151",42.327548,-71.095812
"11512",42.307218,-71.066004
"1152",42.326053,-71.096665
"11521",42.300388,-71.106632
"11522",42.300643,-71.106355
"1153",42.325007,-71.097421
"11531",42.323074,-71.099546
"1154",42.325366,-71.099579
"11545",42.325809,-71.140476
"1155",42.32295,-71.102275
"1156",42.322676,-71.105716
"1158",42.322368,-71.108661
"11587",42.305236,-71.094725
"1159",42.321093,-71.110544
"11592",42.333862,-71.087173
"11593",42.333186,-71.086016
"1160",42.319449,-71.111798
"1161",42.317017,-71.11346
"11613",42.267432,-71.149989
"11618",42.25564,-71.143709
"1164",42.313306,-71.11416
"1165",42.316446,-71.097563
"1166",42.317579,-71.096449
"1167",42.318899,-71.095139
"1168",42.319958,-71.094067
"11689",42.485919,-71.211728
"1169",42.320829,-71.092974
"11694",42.484199,-71.19492
"117",42.361847,-71.057724
"1170",42.321749,-71.091752
"11712",42.284143,-71.091674
"11719",42.270168,-71.093907
"1172",42.323568,-71.08928
"1173",42.32427,-71.088643
"1174",42.325827,-71.087772
"1175",42.327276,-71.087149
"11767",42.358164,-71.109771
"1178",42.327638,-71.087124
"11780",42.337969,-71.102457
"11781",42.340095,-71.101014
"1179",42.326035,-71.087812
"11792",42.332146,-71.079293
"11799",42.340129,-71.101132
"1180",42.324307,-71.088773
"11802",42.338473,-71.102334
"11803",42.338207,-71.105846
"11809",42.348846,-71.108581
"1181",42.323275,-71.089903
"11812",42.277964,-71.161546
"1182",42.321772,-71.091899
"1183",42.320851,-71.093122
"11835",42.332315,-71.146793
"11836",42.304467,-71.150105
"11837",42.302638,-71.152249
"11839",42.300091,-71.169801
"1184",42.320155,-71.094006
"11845",42.329972,-71.146011
"1185",42.31874,-71.095478
"11853",42.277023,-71.237377
"1186",42.317182,-71.097046
"11860",42.287072,-71.13182
"11868",42.289151,-71.133832
"1187",42.315596,-71.098606
"1188",42.315207,-71.097652
"1189",42.361317,-71.117952
"11891",42.357495,-71.056251
"1190",42.35889,-71.123853
"1191",42.357458,-71.128045
"11917",42.332414,-71.146719
"1193",42.355551,-71.132875
"11939",42.309651,-71.115764
"1195",42.354278,-71.135846
"1196",42.353748,-71.138128
"1197",42.35436,-71.141738
"11971",42.355468,-71.142005
"11972",42.357109,-71.145623
"1201",42.356564,-71.150426
"1202",42.357187,-71.152796
"1203",42.357994,-71.154394
"1204",42.358663,-71.157969
"1206",42.355467,-71.162645
"12080",42.378811,-71.146422
"121",42.320511,-71.05178
"121008",42.235159,-71.111037
"121009",42.226417,-71.116431
"121010",42.218345,-71.11952
"121011",42.207287,-71.13472
"121012",42.207967,-71.131106
"121013",42.208061,-71.129262
"121014",42.207886,-71.124052
"121017",42.218305,-71.119251
"121019",42.234934,-71.110934
"1211",42.352417,-71.163341
"1213",42.351254,-71.167478
"1214",42.351196,-71.167349
"12144",42.378896,-71.148062
"12145",42.380718,-71.153669
"12147",42.381181,-71.15467
"1215",42.317078,-71.098224
"1216",42.319416,-71.098297
"1219",42.325015,-71.09808
"122",42.321113,-71.056267
"1221",42.328012,-71.096921
"1222",42.331191,-71.094468
"1224",42.332706,-71.092343
"1226",42.334793,-71.088549
"1227",42.335698,-71.086826
"1228",42.337226,-71.084022
"123",42.320041,-71.059798
"1230",42.338746,-71.081156
"12301",42.388229,-71.119545
"1232",42.340201,-71.078602
"12323",42.417802,-71.180683
"1234",42.341773,-71.07568
"1235",42.343248,-71.072883
"12352",42.405298,-71.164065
"12360",42.415312,-71.180414
"1237",42.345536,-71.069578
"12376",42.413057,-71.120846
"1238",42.347674,-71.068278
"1239",42.34818,-71.067595
"124",42.320623,-71.061567
"1241",42.351748,-71.067101
"1242",42.348777,-71.066481
"12439",42.37378,-71.097963
"12451",42.373622,-71.097843
"1246",42.343673,-71.072264
"12465",42.417136,-71.199535
"12468",42.418807,-71.191934
"1248",42.341601,-71.076185
"125",42.323479,-71.063945
"1250",42.340447,-71.078336
"12512",42.37616,-71.096266
"1252",42.33884,-71.081337
"1253",42.337824,-71.083178
"12530",42.376669,-71.095686
"1254",42.336908,-71.0848
"1255",42.335779,-71.086948
"1257",42.33293,-71.092638
"1258",42.331311,-71.094831
"1259",42.33109,-71.090881
"1260",42.328067,-71.09731
"12610",42.378242,-71.091691
"12614",42.377759,-71.120538
"12615",42.381485,-71.100331
"12616",42.381998,-71.101852
"12618",42.249233,-71.172161
"1262",42.325028,-71.098483
"12636",42.406461,-71.132577
"12637",42.407393,-71.134568
"12638",42.408056,-71.135976
"12639",42.408827,-71.13759
"12640",42.40965,-71.139285
"12641",42.410664,-71.141393
"12642",42.411537,-71.143421
"12643",42.412422,-71.145571
"12644",42.413862,-71.149008
"12645",42.414341,-71.150282
"12648",42.412312,-71.145561
"12649",42.411425,-71.143411
"1265",42.319782,-71.098393
"12650",42.410554,-71.141394
"12651",42.40952,-71.139313
"12652",42.408588,-71.137313
"12653",42.407932,-71.13596
"12654",42.407284,-71.134563
"1266",42.317478,-71.098353
"1268",42.348224,-71.149882
"1269",42.34688,-71.148221
"12699",42.397092,-71.104294
"1270",42.346111,-71.146379
"1272",42.344633,-71.144682
"1273",42.343868,-71.143266
"1274",42.342394,-71.140567
"1275",42.341042,-71.137945
"12759",42.381697,-71.084052
"1276",42.339516,-71.135747
"1277",42.338723,-71.134258
"1278",42.338307,-71.131602
"12783",42.25632,-71.125999
"12789",42.264777,-71.127641
"1279",42.338412,-71.129157
"128",42.327984,-71.067744
"1280",42.336982,-71.12648
"1281",42.335129,-71.124667
"12812",42.264668,-71.127671
"1282",42.334528,-71.122877
"12821",42.38372,-71.072326
"12826",42.374605,-71.06385
"12829",42.371907,-71.060949
"1283",42.33296,-71.118927
"12836",42.372149,-71.060233
"12838",42.375182,-71.056282
"12858",42.373771,-71.058191
"1286",42.333109,-71.118928
"12866",42.382514,-71.069736
"1287",42.334491,-71.122471
"1288",42.335166,-71.124492
"12888",42.414759,-71.110199
"1289",42.337403,-71.126747
"1290",42.338497,-71.129184
"1291",42.338364,-71.131336
"1292",42.339199,-71.135066
"1293",42.341245,-71.138162
"12932",42.314492,-71.067211
"1294",42.342466,-71.140502
"12940",42.328037,-71.057845
"1295",42.343586,-71.142524
"1296",42.344593,-71.144416
"1298",42.346056,-71.146117
"1299",42.346992,-71.148213
"13",42.329962,-71.057625
"1300",42.34813,-71.149638
"1301",42.348814,-71.150755
"1302",42.350621,-71.131245
"1304",42.345707,-71.127662
"1306",42.343974,-71.124518
"1308",42.342499,-71.121845
"1309",42.339637,-71.121038
"13093",42.253016,-71.017747
"1310",42.337914,-71.121506
"1311",42.335832,-71.120492
"13121",42.309967,-71.057763
"1313",42.33327,-71.118824
"1314",42.331744,-71.112992
"13142",42.297056,-71.01647
"1315",42.333092,-71.109678
"1317",42.333494,-71.106036
"1319",42.333785,-71.103909
"1320",42.332857,-71.101262
"1322",42.331819,-71.097819
"1323",42.331479,-71.095333
"13245",42.262116,-70.986311
"1325",42.3101,-71.09188
"1326",42.311245,-71.090936
"1327",42.311784,-71.090515
"1328",42.313354,-71.08924
"133",42.323547,-71.064269
"1330",42.314496,-71.088338
"1331",42.316043,-71.087061
"1332",42.316934,-71.086503
"13321",42.316392,-71.083219
"1334",42.318292,-71.086142
"1335",42.319237,-71.085952
"1337",42.321185,-71.085676
"1338",42.32267,-71.084643
"1339",42.323534,-71.084009
"134",42.320516,-71.061612
"1340",42.323789,-71.083852
"13400",42.250367,-71.038385
"13402",42.250117,-71.025084
"13403",42.248427,-71.020566
"13404",42.246347,-71.016357
"13406",42.244425,-71.010311
"13407",42.246089,-71.006084
"1341",42.322599,-71.084873
"1342",42.320697,-71.086075
"1344",42.319224,-71.086073
"1345",42.31808,-71.086321
"1346",42.317134,-71.08655
"135",42.319947,-71.059926
"1350",42.314699,-71.088322
"1351",42.313142,-71.089559
"1352",42.31199,-71.090502
"1353",42.311237,-71.091087
"1354",42.310086,-71.092009
"1357",42.33158,-71.095246
"13590",42.332118,-71.098589
