stop_id,passing_values,frequent_stop,stop_code,stop_name,stop_desc,stop_lat,stop_lon
d6e9d75f-ac14-4834-8840-7cffd1e4ff95,0,FALSE,MF14,EMK Community Health,,42.1274170057426,-71.5187996041059
d7eda352-7d9e-475f-82cd-25272993e8c8,0,FALSE,MF18,Milford High School,,42.1508581728255,-71.5324091334587
db6ae1dd-e747-431d-aa2a-93e552bdb6b4,0,FALSE,MF23,Hannafords Plaza/ CVS,,42.1501822561134,-71.5022087992554
e090f95b-ae87-482d-ae80-b41e78745b49,1,FALSE,N22,Sherwood Plaza,,42.2988289474743,-71.3854146829494
e0cb1216-2b30-40e3-bd7c-345540011dd6,1,FALSE,A3,Market Basket,,42.2574572120581,-71.4269433276024
e31c1291-d515-40be-9fa7-7c9957a40d91,1,FALSE,F12,Stop and Shop,,42.2978110490925,-71.4487630992391
e64db440-9753-4405-b36b-0b2be2a507f6,3,FALSE,F56,Banana Lot/Intermodal Center,Framingham MBTA (Rear),42.2770842776945,-71.4175287733989
e921d8eb-b80e-4a6e-a2fc-e44b2e898167,1,FALSE,A6,Ashland MBTA,,42.2613812840808,-71.4830377091788
ebb1c886-7fc1-4fc9-8815-2d5b7e549418,0,FALSE,MF9,East Main St Shelter at Beech St,,42.1436403479362,-71.5133493550628
ee29f43e-5795-4735-b5e1-cdadde5ea0be,1,FALSE,F87,Newfield Drive West Central St,,42.2819913793797,-71.3895466261832
ee992cdc-6325-4e10-81e4-478fe91cb0c9,0,FALSE,F21,Pinefield,,42.326086,-71.402609
f1b3715d-148f-4a30-845f-45dcf2b67488,0,FALSE,MB3,Route 20 & Felton St,,42.34132195,-71.57871723
f22eb7a5-49ec-4a71-9166-a2c5ad582e52,1,FALSE,N30,Coolidge Gardens,,42.2805322575886,-71.3470792083191
f5053b07-3236-4a92-8811-55c2dd7ee000,1,FALSE,F86,Second St at Rec Center,,42.2766725585861,-71.4000836849263
f50f48a6-e47a-4c1c-8f35-a80047ac2bc6,2,FALSE,F49,Halstead Apartments,,42.2936174150477,-71.469366489015
f645b13e-55df-443e-bf7b-cd29dcbc7fbd,0,FALSE,S5,Central St / Cherry St,,42.2962272045748,-71.5063246492341
fc96bab4-cc32-4985-ac8e-79c75beac40e,1,FALSE,F28,MassBay Community College,,42.29134202,-71.41304255
fd7793f9-4f75-4421-b972-2b0c2d54bc69,0,FALSE,MF7,Milford Target,,42.1604712105078,-71.4999047815743
ff763433-1760-4b95-ab97-c2ff6dae38ff,0,FALSE,H3,Esplanade Housing,,42.3921403224552,-71.5605320966561
