"","DOW","stop_id","direction_id","firstArrival_mam","lastArrival_mam","trips","averageHeadway","Percentile90_hw","effectiveHeadway","span_min","span_max","freq_min","span_pass","freq_pass","stop_code","platform_code","stop_name","stop_desc","geometry"
"92","SA","814426",NA,473.666666666667,1128.7,22,31.1920634920635,55.0333333333334,51.2371227927333,480,1110,20,TRUE,FALSE,"67","","High St & Chestnut St","",c(216273.204587973, 932564.300094789)
"93","SA","814429",NA,498.85,1038.85,7,90,90,90,480,1110,20,FALSE,FALSE,"70","","Billerica Rd & Industrial Ave","",c(213511.344925759, 927510.66273605)
"94","SA","814430",NA,529.316666666667,1069.31666666667,10,60,60,60,480,1110,20,FALSE,FALSE,"71","","Bridge St & Lafayette St","",c(216055.647454089, 935562.711232455)
"95","SA","814431",NA,530.466666666667,1070.46666666667,10,60,60,60,480,1110,20,FALSE,FALSE,"72","","Dalton Rd & Jensen Ave","",c(212582.910175487, 928778.067084627)
"96","SA","814432",NA,511.733333333333,1051.73333333333,10,60,60,60,480,1110,20,FALSE,FALSE,"73","","Princeton St & Church St","",c(210086.50112973, 931493.151634008)
"97","SA","814434",NA,491.65,1031.65,10,60,60,60,480,1110,20,FALSE,FALSE,"75","","Woburn St & Carmine St","",c(217115.959220656, 930015.680318927)
"98","SA","814436",NA,453.766666666667,993.766666666667,10,60,60,60,480,1110,20,FALSE,FALSE,"77","","Gorham St & Carlisle St","",c(216059.341892384, 929662.00127859)
"99","SA","814437",NA,461.333333333333,1061.33333333333,11,60,60,60,480,1110,20,FALSE,FALSE,"78","","Main St & Pine Ave","",c(226009.019811644, 923536.70327505)
"100","SA","814438",NA,518.433333333333,1058.43333333333,10,60,60,60,480,1110,20,FALSE,FALSE,"79","","Gorham St & Carleton Ave","",c(216570.645436126, 928036.553950217)
"101","SA","814441",NA,521.2,1126.2,11,60.5,60.5,60.5371900826446,480,1110,20,FALSE,FALSE,"82","","Mammoth Rd & 5th Ave","",c(213490.300837363, 933553.413100375)
"102","SA","814442",NA,497.483333333333,1097.48333333333,11,60,60,60,480,1110,20,FALSE,FALSE,"83","","Andover St & High St","",c(216427.895988631, 932404.33109215)
"103","SA","814443",NA,468.016666666667,1068.01666666667,11,60,60,60,480,1110,20,FALSE,FALSE,"84","","Main St & Massachusetts Ave","",c(226017.37694591, 923546.954823015)
"104","SA","814444",NA,456.55,996.55,10,60,60,60,480,1110,20,FALSE,FALSE,"85","","Gorham St & Sprague Ave","",c(216564.478513858, 927960.374588886)
"105","SA","814445",NA,475.7,1080.7,11,60.5,62.1933333333333,60.5170146923783,480,1110,20,FALSE,FALSE,"86","","University Ave & White St","",c(214047.413546867, 933849.329120447)
"106","SA","814446",NA,494,1091,14,45.9230769230769,57,49.0402010050251,480,1110,20,FALSE,FALSE,"87","","Alpha Rd & Stuart Rd","",c(214311.664659592, 926880.075432749)
"107","SA","814447",NA,505,1045,10,60,60,60,480,1110,20,FALSE,FALSE,"88","","Bedford Springs Apartments","",c(221680.836608581, 917796.570313848)
"108","SA","814449",NA,503.65,1043.65,10,60,60,60,480,1110,20,FALSE,FALSE,"91","","Beech St & 10th St","",c(216532.600519869, 933716.238186829)
"109","SA","814450",NA,521.666666666667,1061.66666666667,10,60,60,60,480,1110,20,FALSE,FALSE,"92","","Gorham St & Devine Ave","",c(216130.105347815, 929409.627856023)
"110","SA","814451",NA,454.183333333333,994.183333333333,10,60,60,60,480,1110,20,FALSE,FALSE,"93","","Gorham St & Devine Ave","",c(216121.701580804, 929397.97403623)
"111","SA","814452",NA,489.616666666667,1029.61666666667,10,60,60,60,480,1110,20,FALSE,FALSE,"94","","Middlesex St & Aldea St","",c(212661.026710864, 931898.555668686)
