"","DOW","stop_id","direction_id","firstArrival_mam","lastArrival_mam","trips","averageHeadway","Percentile90_hw","effectiveHeadway","span_min","span_max","freq_min","span_pass","freq_pass","stop_code","stop_name","stop_desc","geometry"
"86","WD","08a05c14-2db4-40b3-9def-f3deaa85c216",NA,448,1033,10,65,65.2,65.0034188034188,420,1140,20,FALSE,FALSE,"F06","Carlson Rd","",c(208495.845433414, 891387.94706896)
"87","WD","08bddd79-9213-464e-bbb5-226afb92a77a",NA,408,1214,37,22.3888888888889,46.5,36.1017369727047,420,1140,20,TRUE,FALSE,"N38","Mathworks Lakeside","",c(210236.695661102, 894691.592103126)
"88","WD","0a4cc4a9-cd68-46f2-b3ed-28b2147f14fd",NA,430.85,1205.55,12,70.4272727272727,85,78.0194785078095,420,1140,20,FALSE,FALSE,"F58","Halstead Apartments Rear Parking","",c(202406.227355551, 893679.645416084)
"89","WD","0a959b0e-7d4c-4b4c-90b0-72ee387a9387",NA,409.283333333333,1147.28333333333,12,67.0909090909091,75,67.3652446552243,420,1140,20,TRUE,FALSE,"F19","Vernon St & Pleasant St","",c(205269.960481652, 894482.462621346)
"90","WD","0b9f2b69-08e3-45ce-a6f4-e4c529c11701",NA,433,1127,11,69.4,73.1,69.5619596541787,420,1140,20,FALSE,FALSE,"MF12","Milford Police and Post Office","",c(198249.546409344, 876517.471239146)
"91","WD","0c31e628-5b24-44fa-808c-f24b81e1edb3",NA,381,1180,24,34.7391304347826,45.6,42.6370463078849,420,1140,20,TRUE,FALSE,"S3","Downtown Southborough","",c(197854.416075847, 895030.363432209)
"92","WD","120ef11b-8a1f-4058-a462-450201afcde8",NA,368,1174,12,73.2727272727273,85,74.6178660049628,420,1140,20,TRUE,FALSE,"HL4","Holliston Congregational Church","",c(205849.377379876, 883451.092693744)
"93","WD","12b6eec7-547f-45cf-becb-2846be5028a5",NA,446,1133,11,68.7,72.3,68.9912663755458,420,1140,20,FALSE,FALSE,"MF16","Milford Shaws/Wallgreens","",c(197132.206197756, 876422.205262467)
"94","WD","1960ce3a-fc28-4f04-901e-25703c6a0f40",NA,453,1180,12,66.0909090909091,70,66.7634112792297,420,1140,20,FALSE,FALSE,"F42","Arsenal Rd","",c(207368.090992165, 893918.024406598)
"95","WD","1965cd2d-df70-4cc7-aff6-589b0be9138c",NA,436.333333333333,1127.46666666667,11,69.1133333333333,72.19,69.3085632294781,420,1140,20,FALSE,FALSE,"MF13","Fruit St / S. Mail St","",c(198282.765409406, 875895.409212063)
"96","WD","1b9378ff-35b5-4642-ba52-662ba5384f4a",NA,406,1133,17,45.4375,48.5,45.5749656121045,420,1140,20,FALSE,FALSE,"F65","Arlington St/Waushakum St","",c(206803.474908625, 891197.669129719)
"97","WD","1d2d1903-683f-4059-9a2c-98ec0599e027",NA,414.266666666667,1185.26666666667,12,70.0909090909091,85,77.8482490272374,420,1140,20,TRUE,FALSE,"S6","Chinese Gospel Church","",c(199610.930413657, 893779.79495149)
"98","WD","1dd033e2-d1ac-413a-a0dc-2d1a6d84d450",NA,402.966666666667,1173.96666666667,12,70.0909090909091,85,77.8482490272374,420,1140,20,TRUE,FALSE,"MB12","Maple St / S. Mill St","",c(196617.713207793, 897935.652381239)
"99","WD","1ec91042-4319-40bf-b4ed-62d37f2cc0e5",NA,427,1152,35,21.3235294117647,43,31.0137931034483,420,1140,20,FALSE,FALSE,"MB13","Marlborough Hospital","",c(195478.397657685, 900362.18841874)
"100","WD","1f409f79-be89-4902-9cd6-5849c28cc1d9",NA,373,1098,17,45.3125,48,45.4441379310345,420,1140,20,FALSE,FALSE,"F60","MCI/Adesa","MCI Adesa",c(207610.772582986, 890382.626918104)
"101","WD","1fd95a95-e63a-4fc2-ae07-5590f1e02017",NA,371.25,1194.73333333333,22,39.2134920634921,62.8166666666666,52.3438371551741,420,1140,20,TRUE,FALSE,"W2","Cedar Street","",c(220735.169099158, 896463.565140575)
"102","WD","2084f27d-e861-4134-8367-842a0e9d8645",NA,415,1205,18,46.4705882352941,82.6,64.893670886076,420,1140,20,TRUE,FALSE,"N15","Natick Common","",c(212595.329653294, 892600.647482113)
"103","WD","21609f30-afce-446f-a930-19f66a023574",NA,361,1190.16666666667,24,36.0507246376812,59,47.4275041876047,420,1140,20,TRUE,FALSE,"F59","500 Staples Dr rear Entrance","",c(200596.578780023, 893368.223542873)
"104","WD","2201cb43-0df7-4b53-a688-cfc750958ae8",NA,431,1159,22,34.6666666666667,40,35.6373626373626,420,1140,20,FALSE,FALSE,"MF10","Milford Town Hall- Route 14","",c(198512.376476793, 876892.341600659)
"105","WD","266a135e-4851-4d05-8bcf-3b9726df2bc6",NA,337.816666666667,1100.81666666667,14,58.6923076923077,82.9999999999999,71.8313950779088,420,1140,20,FALSE,FALSE,"F57","Franklin St & Proctor St","",c(206699.473827293, 892131.865150867)
"106","WD","2b621cd7-1638-4d23-896f-72c168805a0a",NA,458,1079,10,69,70.2,69.0257648953301,420,1140,20,FALSE,FALSE,"H7","Highland Commons- Bed Bath Beyond","",c(192032.245725966, 904982.307700313)
"107","WD","2f68e90d-cb3e-4ec3-b2c4-44d403e5748e",NA,432,1197,18,45,90,74.0013071895425,420,1140,20,FALSE,FALSE,"N20","9/27 Shopping Plaza","",c(211615.276202342, 894522.119222165)
"108","WD","323865ce-1587-4c30-949f-d5682d4d32b4",NA,446,1086,20,33.6842105263158,51,40.446875,420,1140,20,FALSE,FALSE,"H4","Hudson Senior Center","",c(194502.002503954, 904749.78620336)
"109","WD","3603c005-0250-4761-b1dc-ecafe6315f58",NA,425,1170,23,33.8636363636364,64.6,50.5355704697987,420,1140,20,FALSE,FALSE,"F82","Framingham High School","",c(208225.753553521, 896528.510156979)
"110","WD","370b8338-7732-415a-accd-cc370c5bcbf0",NA,378,1103,17,45.3125,48,45.4441379310345,420,1140,20,FALSE,FALSE,"F51","Beaver St & Second St","",c(208074.668076995, 891519.356289711)
"111","WD","39f836a1-5c3d-434d-80fc-f3131b7c13c0",NA,418,1179,23,34.5909090909091,63.7,46.7477003942181,420,1140,20,TRUE,FALSE,"F85","Edmans House","",c(205152.251735387, 897690.190300966)
